,0,1,2,3,4,5,6
0,ア,a,65,0.94179,0.86483,,
1,イ,i,65,1.2242192307692308,0.96464,,
2,ウ,u,65,1.7710284615384615,1.36837,,
3,エ,e,70,1.210872857142857,1.016575,,
4,オ,o,55,1.3701590909090908,1.06911,,
5,カ,ka,75,1.0438276470588235,0.91967,1.24468,1.24468
6,キ,ki,70,1.1352492857142857,1.05198,,
7,ク,ku,40,1.6652333333333333,1.52176,1.885325,1.885325
8,ケ,ke,60,2.7493841666666667,2.2855350000000003,4.406175,4.406175
9,コ,ko,70,1.6725700000000001,1.496245,,
10,サ,sa,40,1.73485625,1.6281599999999998,1.195025,1.195025
11,シ,shi,55,3.2042027272727274,2.85353,3.18652,3.18652
12,ス,su,50,1.2355358333333333,1.15308,1.26617,1.26617
13,セ,se,55,1.4164745454545455,1.24848,,
14,ソ,so,50,2.6521146153846153,2.45687,4.122012857142857,4.76185
15,タ,ta,60,1.2081541666666666,1.1360100000000002,,
16,チ,chi,55,1.9087972727272728,1.37584,,
17,ツ,tsu,50,3.633612,3.1127700000000003,,
18,テ,te,55,1.7739263636363636,1.47513,,
19,ト,to,70,1.2359328571428572,1.04493,,
20,ナ,na,50,1.890682,1.53515,,
21,ニ,ni,75,1.0363793333333333,0.96063,,
22,ヌ,nu,45,2.000454,1.535275,2.923795,2.923795
23,ネ,ne,35,2.0841250000000002,1.8347,1.441995,1.441995
24,ノ,no,55,1.3034245454545454,1.19711,,
25,ハ,ha,70,1.6100557142857144,1.25155,,
26,ヒ,hi,55,1.8453623076923078,1.40107,2.7790233333333334,2.76403
27,フ,fu,70,1.428735,1.2417500000000001,,
28,ヘ,he,70,1.0348128571428572,0.9798450000000001,,
29,ホ,ho,55,2.1342927272727272,1.83531,,
30,マ,ma,45,1.9124372727272727,1.22874,1.92183,1.92183
31,ミ,mi,70,1.0610121428571428,1.02945,,
32,ム,mu,65,1.9083446153846153,1.65902,,
33,メ,me,60,1.4555216666666666,1.353815,1.17245,1.17245
34,モ,mo,55,1.9063654545454545,1.14915,,
35,ヤ,ya,65,1.9781646153846153,1.3181,,
36,ユ,yu,55,2.4770253846153847,2.07048,1.90303,1.90303
37,ヨ,yo,85,1.9398176470588235,1.51388,,
38,ラ,ra,65,1.5126461538461538,1.2478,,
39,リ,ri,60,1.3234633333333334,1.1529699999999998,,
40,ル,ru,55,1.4250572727272728,1.00029,,
41,レ,re,45,1.8400375,1.50601,2.37242,2.41155
42,ロ,ro,55,1.3276627272727273,1.01793,,
43,ワ,wa,55,1.9347063636363637,1.55965,,
44,ヲ,wo,65,1.8265976923076923,1.47218,,
45,ン,n,45,1.584599090909091,1.55612,5.879025,5.879025
46,ガ,ga,65,1.1235076923076923,0.97623,,
47,ギ,gi,60,2.078444166666667,1.35144,,
48,グ,gu,75,1.7329286666666666,1.45177,,
49,ゲ,ge,50,3.169870909090909,2.53614,4.068975,4.068975
50,ゴ,go,40,3.618935,2.85351,,
51,ザ,za,55,1.8425145454545455,1.82063,1.79505,1.79505
52,ジ,ji,60,4.321387857142857,3.00833,9.31211,9.31211
53,ズ,zu,70,1.786277857142857,1.4334500000000001,,
54,ゼ,ze,70,2.3326214285714286,1.71056,,
55,ゾ,zo,65,4.258200769230769,3.22807,7.68274,7.68274
56,ダ,da,70,1.677482857142857,1.41316,,
57,ヂ,dji,60,2.6346433333333334,2.6964699999999997,,
58,ヅ,dzu,45,3.4521854545454547,3.64963,4.39415,4.39415
59,デ,de,50,3.2402791666666664,3.4424599999999996,2.29737,2.29737
60,ド,do,45,1.4942454545454544,1.35795,2.81926,2.81926
61,バ,ba,70,1.9457607142857143,1.81287,,
62,ビ,bi,70,2.284477142857143,1.73515,,
63,ブ,bu,35,2.6049066666666665,2.06296,2.03794,2.03794
64,ベ,be,80,2.00126,1.78153,,
65,ボ,bo,75,1.854986,1.67426,1.66958,1.66958
66,パ,pa,50,2.401641,2.402835,,
67,ピ,pi,70,3.5621442857142855,2.0998349999999997,1.64514,1.64514
68,プ,pu,70,2.2166135714285713,1.782585,,
69,ペ,pe,35,2.037602,1.9398250000000001,1.987595,1.987595
70,ポ,po,75,1.901336,1.64195,2.76602,2.76602
71,ヴ,v,55,1.6593927272727274,1.51772,,
